axis,event_id,level,start_time,end_time,duration_sec,peak_residual,mean_residual,area_above_baseline
Axis #8,A0047,ALERT,2022-10-18 01:24:27.338000+00:00,2022-10-18 01:24:50.700000+00:00,23.362,0.542706364096279,0.5008608082000181,11.562565384779695
Axis #8,A0048,ALERT,2022-10-18 01:54:58.664000+00:00,2022-10-18 01:55:04.437000+00:00,5.773,0.3706602256571383,0.3668353886792868,2.206970887808424
Axis #8,A0049,ALERT,2022-10-18 02:20:41.660000+00:00,2022-10-18 02:21:01.008000+00:00,19.348,0.6685164889148575,0.5761614585068364,11.65574967204921
Axis #8,A0050,ALERT,2022-10-18 02:41:49.205000+00:00,2022-10-18 02:41:58.762000+00:00,9.557,0.4390902249518024,0.4143610450401767,3.731297395358836
Axis #8,A0051,ALERT,2022-10-18 03:09:11.212000+00:00,2022-10-18 03:09:30.440000+00:00,19.228,0.4703522196419405,0.4258880111647467,8.103832787286684
Axis #8,A0052,ALERT,2022-10-18 07:02:35.039000+00:00,2022-10-18 07:02:52.362000+00:00,17.323,0.37650176316757067,0.3654867509851211,6.225558871799674
Axis #8,A0053,ALERT,2022-10-18 07:39:00.549000+00:00,2022-10-18 07:39:06.261000+00:00,5.712,0.3830440156312614,0.37464779198760606,2.257838948276817
Axis #8,A0054,ALERT,2022-10-18 07:51:24.229000+00:00,2022-10-18 07:51:39.682000+00:00,15.453,0.4292064890265591,0.38754904632934234,5.8045027172720705
Axis #8,A0055,ALERT,2022-10-18 08:05:49.034000+00:00,2022-10-18 08:06:00.565000+00:00,11.531,0.42626697111325584,0.39636970254461357,4.3783347789020635
Axis #8,A0056,ALERT,2022-10-18 08:32:47.317000+00:00,2022-10-18 08:32:58.783000+00:00,11.466,0.4061084359358086,0.39273977576729774,4.339846047760533
Axis #8,A0057,ALERT,2022-10-18 08:39:59.206000+00:00,2022-10-18 08:40:08.722000+00:00,9.516,0.42440780593799654,0.4074325452178382,3.6822214083905784
Axis #8,A0058,ALERT,2022-10-18 09:22:59.129000+00:00,2022-10-18 09:23:16.393000+00:00,17.264,0.5262937545624014,0.4765259651779009,8.192997179600855
Axis #8,A0059,ALERT,2022-10-18 09:23:21.966000+00:00,2022-10-18 09:23:29.528000+00:00,7.562,0.4504714969617907,0.4332017237322724,3.4550186991624523
Axis #8,A0060,ALERT,2022-10-18 09:24:05.314000+00:00,2022-10-18 09:24:20.743000+00:00,15.429,0.4341820536741351,0.40798198288134285,6.135626277558328
Axis #8,A0061,ALERT,2022-10-18 09:24:26.948000+00:00,2022-10-18 09:24:32.629000+00:00,5.681,0.37622249503737054,0.37334707936572975,2.243244305563696
Axis #8,A0062,ALERT,2022-10-18 09:25:44.643000+00:00,2022-10-18 09:26:03.959000+00:00,19.316,0.549809137111159,0.45938898413514956,8.862343292221787
Axis #8,A0063,ALERT,2022-10-18 09:27:58.127000+00:00,2022-10-18 09:28:03.866000+00:00,5.739,0.42653284178458517,0.41012250247499116,2.057429770559935
Axis #8,A0064,ALERT,2022-10-18 09:31:44.101000+00:00,2022-10-18 09:31:53.691000+00:00,9.59,0.44372669232414097,0.40230385684944037,3.6462850452587303
Axis #8,A0065,ALERT,2022-10-18 09:47:45.094000+00:00,2022-10-18 09:47:52.798000+00:00,7.704,0.4371663021357187,0.40336273091443164,2.833783771588287
Axis #8,A0066,ALERT,2022-10-18 09:50:22.687000+00:00,2022-10-18 09:50:45.425000+00:00,22.738,0.4406077452310734,0.40987575613486615,9.488131518818511
Axis #8,A0067,ALERT,2022-10-18 09:52:52.852000+00:00,2022-10-18 09:53:23.588000+00:00,30.736,0.5685695301631685,0.5005760852089988,15.634922375498899
Axis #8,A0068,ALERT,2022-10-18 10:06:27.003000+00:00,2022-10-18 10:06:34.601000+00:00,7.598,0.4152287020972161,0.4027204609265528,2.833844886961497
Axis #8,A0069,ALERT,2022-10-18 10:27:42.445000+00:00,2022-10-18 10:27:53.808000+00:00,11.363,0.4908638156718279,0.4196046088942608,4.671721986528008
Axis #8,E0001,ERROR,2022-10-17 13:26:11.358000+00:00,2022-10-17 13:26:22.965000+00:00,11.607,0.6290983899649623,0.6029735844558953,6.618667164859133
Axis #8,E0002,ERROR,2022-10-17 23:24:07.516000+00:00,2022-10-17 23:24:15.246000+00:00,7.73,0.5860188655115586,0.5728753115554086,4.606536945983155
Axis #8,E0003,ERROR,2022-10-18 02:20:45.440000+00:00,2022-10-18 02:20:55.238000+00:00,9.798,0.6685164889148575,0.621989131291446,6.237211171082215
